state_id,cluster_id,split_role,regime_id,entropy,voi_oracle_raw,delta_u_force_explore,delta_u,useful_label,proxy_kernel_name,true_kernel_name,R_drs,R_jsd,R_tv,R_entropy,voi_bound_tv
low_H_high_R|b=0.18|c=0.02,low_H_high_R,model_selection,low_H_high_R,0.6800770457282798,0.08000000000000007,0.06000000000000007,,BENEFICIAL,bernoulli_0.90,bernoulli_0.90,0.24399999999999994,0.23056397822742047,0.8,0.4713934868100941,0.23616000000000004
low_H_high_R|b=0.18|c=0.1,low_H_high_R,model_selection,low_H_high_R,0.6800770457282798,0.08000000000000007,-0.019999999999999934,,NEAR_ZERO,bernoulli_0.90,bernoulli_0.90,0.24399999999999994,0.23056397822742047,0.8,0.4713934868100941,0.23616000000000004
low_H_high_R|b=0.18|c=0.25,low_H_high_R,model_selection,low_H_high_R,0.6800770457282798,0.08000000000000007,-0.16999999999999993,,HARMFUL,bernoulli_0.90,bernoulli_0.90,0.24399999999999994,0.23056397822742047,0.8,0.4713934868100941,0.23616000000000004
low_H_high_R|b=0.88|c=0.02,low_H_high_R,model_selection,low_H_high_R,0.5293608652873644,0.020000000000000018,1.734723475976807e-17,,NEAR_ZERO,bernoulli_0.90,bernoulli_0.90,0.19599999999999998,0.16972401996161843,0.8,0.3669249912727096,0.16896
low_H_high_R|b=0.88|c=0.1,low_H_high_R,model_selection,low_H_high_R,0.5293608652873644,0.020000000000000018,-0.07999999999999999,,HARMFUL,bernoulli_0.90,bernoulli_0.90,0.19599999999999998,0.16972401996161843,0.8,0.3669249912727096,0.16896
low_H_high_R|b=0.88|c=0.25,low_H_high_R,model_selection,low_H_high_R,0.5293608652873644,0.020000000000000018,-0.22999999999999998,,HARMFUL,bernoulli_0.90,bernoulli_0.90,0.19599999999999998,0.16972401996161843,0.8,0.3669249912727096,0.16896
low_H_low_R|b=0.12|c=0.02,low_H_low_R,model_selection,low_H_low_R,0.5293608652873644,0.0,-0.02,,NEAR_ZERO,near_identical,near_identical,0.0,8.44800888550525e-07,0.0020000000000000018,0.3669249912727096,0.00042240000000000035
low_H_low_R|b=0.12|c=0.1,low_H_low_R,model_selection,low_H_low_R,0.5293608652873644,0.0,-0.1,,HARMFUL,near_identical,near_identical,0.0,8.44800888550525e-07,0.0020000000000000018,0.3669249912727096,0.00042240000000000035
low_H_low_R|b=0.12|c=0.25,low_H_low_R,model_selection,low_H_low_R,0.5293608652873644,0.0,-0.25,,HARMFUL,near_identical,near_identical,0.0,8.44800888550525e-07,0.0020000000000000018,0.3669249912727096,0.00042240000000000035
low_H_low_R|b=0.18|c=0.02,low_H_low_R,model_selection,low_H_low_R,0.6800770457282798,-1.1102230246251565e-16,-0.02000000000000011,,NEAR_ZERO,near_identical,near_identical,0.0,1.1808011096003228e-06,0.0020000000000000018,0.4713934868100941,0.0005904000000000006
low_H_low_R|b=0.18|c=0.1,low_H_low_R,model_selection,low_H_low_R,0.6800770457282798,-1.1102230246251565e-16,-0.10000000000000012,,HARMFUL,near_identical,near_identical,0.0,1.1808011096003228e-06,0.0020000000000000018,0.4713934868100941,0.0005904000000000006
low_H_low_R|b=0.18|c=0.25,low_H_low_R,model_selection,low_H_low_R,0.6800770457282798,-1.1102230246251565e-16,-0.2500000000000001,,HARMFUL,near_identical,near_identical,0.0,1.1808011096003228e-06,0.0020000000000000018,0.4713934868100941,0.0005904000000000006
low_H_low_R|b=0.88|c=0.02,low_H_low_R,model_selection,low_H_low_R,0.5293608652873644,0.0,-0.02,,NEAR_ZERO,near_identical,near_identical,0.0,8.44800888550525e-07,0.0020000000000000018,0.3669249912727096,0.00042240000000000035
low_H_low_R|b=0.88|c=0.1,low_H_low_R,model_selection,low_H_low_R,0.5293608652873644,0.0,-0.1,,HARMFUL,near_identical,near_identical,0.0,8.44800888550525e-07,0.0020000000000000018,0.3669249912727096,0.00042240000000000035
low_H_low_R|b=0.88|c=0.25,low_H_low_R,model_selection,low_H_low_R,0.5293608652873644,0.0,-0.25,,HARMFUL,near_identical,near_identical,0.0,8.44800888550525e-07,0.0020000000000000018,0.3669249912727096,0.00042240000000000035
near_zero_treatment|b=0.4|c=0.02,near_zero_treatment,model_selection,near_zero_treatment,0.9709505944546688,0.0,-0.02,,NEAR_ZERO,heavy_overlap,heavy_overlap,0.0,0.0007682131286417301,0.040000000000000036,0.6730116670092565,0.019200000000000016
near_zero_treatment|b=0.4|c=0.1,near_zero_treatment,model_selection,near_zero_treatment,0.9709505944546688,0.0,-0.1,,HARMFUL,heavy_overlap,heavy_overlap,0.0,0.0007682131286417301,0.040000000000000036,0.6730116670092565,0.019200000000000016
near_zero_treatment|b=0.4|c=0.25,near_zero_treatment,model_selection,near_zero_treatment,0.9709505944546688,0.0,-0.25,,HARMFUL,heavy_overlap,heavy_overlap,0.0,0.0007682131286417301,0.040000000000000036,0.6730116670092565,0.019200000000000016
near_zero_treatment|b=0.5|c=0.02,near_zero_treatment,model_selection,near_zero_treatment,1.0,0.020000000000000018,1.734723475976807e-17,,NEAR_ZERO,heavy_overlap,heavy_overlap,0.5,0.0008002134699838133,0.040000000000000036,0.6931471805599453,0.020000000000000018
